"Drug Name","Active Ingredient","Form;Route","Appl. No.","Company","Date","Link"
"Bevyxxa","Betrixaban","CAPSULE;ORAL","208383","PORTOLA PHARMS INC","08/24/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/208383s000lbl.pdf#page=20"
"Bildyos","Denosumab-Nxxp","INJECTABLE;SUBCUTANEOUS","761444","SHANGHAI HENLIUS BIOTECH, INC","10/29/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761444s000lbl.pdf#page=30"
"Bimzelx","Bimekizumab-Bkzx","INJECTABLE; SUBCUTANEOUS","761151","UCB INC","09/20/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761151s005s006s007lbl.pdf#page=29"
"Binosto","Alendronate Sodium","TABLET, EFFERVESCENT;ORAL","202344","ASCEND THERAPS US","02/03/2026","https://www.accessdata.fda.gov/drugsatfda_docs/label/2026/202344s022lbl.pdf#page=26"
"Blenrep","Belantamab Mafodotin-Blmf","INJECTABLE;INTRAVENOUS","761158","GLAXOSMITHKLINE","02/28/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/761158s006lbl.pdf#page=22"
"Blincyto","Blinatumomab","INJECTABLE;INJECTION","125557","AMGEN","06/14/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/125557s023s026lbl.pdf#page=41"
"Boncresa","Denosumab","INJECTION","761456","AMNEAL PHARMACEUTICALS LLC","12/19/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761456s000lbl.pdf#page=30"
"Boniva","Ibandronate Sodium","INJECTABLE;INTRAVENOUS","021858","ROCHE","01/11/2022","http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/021858s022lbl.pdf#page=18"
"Boniva","Ibandronate Sodium","TABLET;ORAL","021455","HOFFMANN LA ROCHE","12/07/2016","http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/021455s021lbl.pdf#page=19"
"Bonsity","Teriparatide","SOLUTION;SUBCUTANEOUS","211939","ALVOGEN","08/11/2026","https://www.accessdata.fda.gov/drugsatfda_docs/label/2026/211939s021lbl.pdf#page=22"
"Bosaya","Denosumab-Kyqq","INJECTION","761436","BIOCON BIOLOGICS INC","10/29/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761436s000lbl.pdf#page=35"
"Botox","Onabotulinumtoxina","VIAL; SINGLE-USE","103000","ALLERGAN","08/10/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/103000s5327lbl.pdf#page=49"
"Botox Cosmetic","Onabotulinumtoxina","VIAL; SINGLE-USE","103000","ALLERGAN","08/10/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/103000s5327lbl.pdf#page=49"
